product_id,product_name,price,size,weight,talent,feature,front_url,side_url,back_url
CC001,Friendly McFluff,879,91,1.2,Master of Bedroom,"Friendly McFluff fuzzy blue monster with a perpetual smile and gleaming eyes of pure curiosity. His cloud-like fur shifts in shades of blue, inviting endless hugs. Antennae wiggle with his moods, while his tailored vest adds a touch of elegance to his approachable charm. McFluff radiates warmth, making every bedroom a sanctuary of comfort.",https://spacko.de/CREATURES/CC001/front.png,https://spacko.de/CREATURES/CC001/side.png,https://spacko.de/CREATURES/CC001/back.png
CC002,Glimmer McFuzzle,1.099,72,0.9,Master of Living Room,"Glimmer McFuzzle is a delightful, whimsical creature with a body that resembles a cross between a puffball and a gremlin. His fur is a soft, radiant blue with a tinge of purple shimmer that seems to dance under the warm light. His eyes are two giant, circular orbs filled with innocence and curiosity, reflecting the environment like twin moons. His smile, which never leaves his face, reveals a set of tiny, pearly-white teeth and a pink, slightly elongated tongue. Standing atop a stone pedestal, his stumpy legs and plump body give him a charmingly awkward stance. Despite his cuddly exterior, sharp claws and pointed ears hint at a wild nature beneath the surface.",https://spacko.de/CREATURES/CC002/front.png,https://spacko.de/CREATURES/CC002/side.png,https://spacko.de/CREATURES/CC002/back.png
CC003,Grumblatt,1249,90,3.5,Master of Living Room,"Grumblatt is a playful trickster, always coming up with clever pranks and unexpected surprises, harmless most of the time, but occasionally a bit daring. Beneath the rough scales lies a curious and gentle nature. Grumblatt is known as a keeper of small secrets, whispering them into the wind at night so they're never completely forgotten.",https://spacko.de/CREATURES/CC003/front.png,https://spacko.de/CREATURES/CC003/side.png,https://spacko.de/CREATURES/CC003/back.png
CC004,Dustling,2199,0,7.8,Master of Bedroom,"Dustling doesn't speak often, but when he does, his voice sounds like ancient echoes. He is patient, wise, and carries memories of forgotten times. Most notice his presence only through faint sparks or drifting dust motes. He's the quiet observer of the group'the one who reins in the others when things get out of hand.",https://spacko.de/CREATURES/CC004/front.png,https://spacko.de/CREATURES/CC004/side.png,https://spacko.de/CREATURES/CC004/back.png
CC005,Fizzle,3.750,41,15,"Master of Playroom","Fizzle is lively, restless, and fascinated by anything that shines or crackles. His enthusiasm is infectious, though his impatience often leads to chaos. A born adventurer, he's always chasing new thrills and delights in conjuring sparks and embers to amaze those around him.",https://spacko.de/CREATURES/CC005/front.png,https://spacko.de/CREATURES/CC005/side.png,https://spacko.de/CREATURES/CC005/back.png
CC006,Round Glowing,1590,42,2.1,Master of Living Room,"Round Glowing is cheerful, glowing companion with a constant warm smile. Loves coziness, radiates gentle light, and makes everyone feel welcome.",https://spacko.de/CREATURES/CC006/front.png,https://spacko.de/CREATURES/CC006/side.png,https://spacko.de/CREATURES/CC006/back.png
CC007,Spiky Horned,4299,55,0.75,Master of Entryway,"Spiky is a watchful little sentinel with sharp features and mischievous eyes. Always alert, Spiky Horned stands proudly at doorways, ensuring no detail goes unnoticed. Both playful and protective, he keeps order while welcoming guests with a spark of curiosity.",https://spacko.de/CREATURES/CC007/front.png,https://spacko.de/CREATURES/CC007/side.png,https://spacko.de/CREATURES/CC007/back.png
CC008,Lizardi,1.050,68,12,Master of Kitchen,"Lizardi is confident, sassy lizard-like companion with scales that glimmer under soft light. Lizardo thrives in social settings, filling rooms with chatter and laughter. Bold yet approachable, he commands attention like a true host, ensuring every meal and gathering is unforgettable.",https://spacko.de/CREATURES/CC008/front.jpg,https://spacko.de/CREATURES/CC008/side.png,https://spacko.de/CREATURES/CC008/back.png
CC009,Groovey the Green Monster,2880,70,25,Master of Living Room,"Groovey is a lively, cheerful monster covered in vibrant green fur. With a playful personality, he loves to dance and entertain guests, bringing energy and fun to any room. His infectious laughter and friendly demeanor make him a beloved companion.",https://spacko.de/CREATURES/CC009/front.png,https://spacko.de/CREATURES/CC009/side.png,https://spacko.de/CREATURES/CC009/back.png
CC010,Ember the Fire Drake,999,150,18.4,Master of Living Room,"Ember is a majestic fire drake with shimmering scales that glow with an inner flame. He commands respect with his fiery breath and noble presence, inspiring awe and admiration. Ember is a protective yet gentle guardian, always ready to defend his loved ones.",https://spacko.de/CREATURES/CC010/front.png,https://spacko.de/CREATURES/CC010/side.png,https://spacko.de/CREATURES/CC010/back.png
CC011,Spike the Mountain Beast,5100,200,0.6,Master of Garden,"Spike is a formidable mountain beast with rugged scales and mighty claws. His stalwart nature and commanding presence make him an excellent protector. Despite his fierce appearance, Spike is loyal and caring to those he considers friends.",https://spacko.de/CREATURES/CC011/front.png,https://spacko.de/CREATURES/CC011/side.png,https://spacko.de/CREATURES/CC011/back.png
CC012,Luna the Cloud Spirit,1.349,60,9.5,Master of Bedroom,"Luna is a whimsical, airy spirit that floats gracefully through the air. With her soft, cloud-like appearance and calming aura, she brings tranquility and serenity to her surroundings. Luna is a gentle guide, helping others find peace and clarity.",https://spacko.de/CREATURES/CC012/front.png,https://spacko.de/CREATURES/CC012/side.png,https://spacko.de/CREATURES/CC012/back.png
CC013,Thunder the Storm Giant,2450,250,22,Master of Garden,"Thunder is a mighty giant with a commanding voice that echoes like thunder. He controls storms, bringing rain and lightning to rejuvenate the land. Despite his imposing size, he has a kind heart and a protective spirit. ",https://spacko.de/CREATURES/CC013/front.png,https://spacko.de/CREATURES/CC013/side.png,https://spacko.de/CREATURES/CC013/back.png
CC014,Lizardo the Confident Host,789,68,30,Master of Dining Room,"Lizardo is a confident, sassy lizard-like companion with scales that glimmer under soft light. Lizardo thrives in social settings, filling rooms with chatter and laughter. Bold yet approachable, he commands attention like a true host, ensuring every meal and gathering is unforgettable. ",https://spacko.de/CREATURES/CC014/front.png,https://spacko.de/CREATURES/CC014/side.png,https://spacko.de/CREATURES/CC014/back.png
CC015,Mossy McRoar,6200,110,4.8,Master of Garden,"Mossy is a shaggy green forest-dwelling monster, arms raised in dramatic flair. His moss-coated fur breathes woodland air, while his booming voice echoes like nature's call. Perfect companion for outdoor sanctuaries and meditative spaces.",https://spacko.de/CREATURES/CC015/front.jpg,https://spacko.de/CREATURES/CC015/side.png,https://spacko.de/CREATURES/CC015/back.png
CC016,Emberfang Glowspire,1175,150,11,Master of Garden,"Emberfang is a fiery, stone-textured dragon head that radiates a golden glow from within. His molten eyes burn with wisdom, while faint smoke swirls around his presence. Adds majesty, light, and a spark of myth to any home.",https://spacko.de/CREATURES/CC016/front.png,https://spacko.de/CREATURES/CC016/side.png,https://spacko.de/CREATURES/CC016/back.png
CC017,Bubbly McPonder,949,60,0.5,Master of Library,"Bubbly is a round, teal bubble-like creature with wide wondering eyes. Resting on a stone pedestal, he exudes calm curiosity and gentle humor. Always ready to listen, his presence invites playful ideas and thoughtful daydreams.",https://spacko.de/CREATURES/CC017/front.png,https://spacko.de/CREATURES/CC017/side.png,https://spacko.de/CREATURES/CC017/back.png
CC018,Bug-Eyed Greenthumb,1890,86,19.9,Master of Living Room,"Bug-Eyed is a fuzzy, round green monster perched confidently atop any pedestal. His enormous, bewildered eyes capture every detail of the room, while tiny fangs peek from a lopsided smile. His plush, moss-like texture gives tactile delight, and his expressive stance ensures he becomes the centerpiece of curiosity and conversation. Greenthumb's knack for making every living room feel like an art gallery leaves a lasting impression on guests.",https://spacko.de/CREATURES/CC018/front.jpg,https://spacko.de/CREATURES/CC018/side.png,https://spacko.de/CREATURES/CC018/back.png
CC019,Crimson Tentaclore,3150,125,28,Master of Library,"A formidable, ancient-inspired monster with twisting, spiked tentacles and a dusky red hide. Radiates wisdom and protective energy; perfect for guarding treasures.",https://spacko.de/CREATURES/CC019/front.png,https://spacko.de/CREATURES/CC019/side.png,https://spacko.de/CREATURES/CC019/back.png
CC020,McFluffy Chucklebeast,1.430,74,35,Master of Living Room,"Teal-furred, round, and cheerful creature with wild eyes and a huge toothy grin. Beloved for bringing laughter and happiness to any space.",https://spacko.de/CREATURES/CC020/front.png,https://spacko.de/CREATURES/CC020/side.png,https://spacko.de/CREATURES/CC020/back.png
CC021,Blossomhorn Bubbler,1240,68,1.7,Master of Playroom,"A lively pink-furred monster with wide turquoise eyes and tiny horns. Friendly, uplifting, and always surrounded by fresh blooms, perfect for brightening a space.",https://spacko.de/CREATURES/CC021/front.png,https://spacko.de/CREATURES/CC021/side.png,https://spacko.de/CREATURES/CC021/back.png
CC022,Snugglebeam Sprout,2760,66,14,Master of Playroom,"A vibrant blue-and-yellow fluff creature with a mischievous grin and sparkling teal eyes. Always perky and curious, Snugglebeam Sprout brings warmth and giggles to any play space and loves cozying up in hidden corners.",https://spacko.de/CREATURES/CC022/front.png,https://spacko.de/CREATURES/CC022/side.png,https://spacko.de/CREATURES/CC022/back.png
